time_s,altitude_km,velocity_ms,mach,heat_flux_Wm2
3.364265540491373052e+00,1.175493873468367099e+02,7.599957405477200155e+03,2.772678905466763410e+01,1.448423471981995499e+04
3.398594810307372427e+00,1.175243810952738102e+02,7.599957257285791457e+03,2.772678851402356059e+01,1.450872584456186814e+04
3.432924080792737698e+00,1.174993748437109247e+02,7.599957108578810221e+03,2.772678797149853125e+01,1.453326017065019732e+04
3.467253351949837636e+00,1.174743685921480392e+02,7.599956959354459286e+03,2.772678742708599486e+01,1.455783773851266596e+04
3.501582623780989056e+00,1.174493623405851395e+02,7.599956809610940581e+03,2.772678688077938602e+01,1.458245858945242435e+04
3.535911896288517209e+00,1.174243560890222540e+02,7.599956659346448760e+03,2.772678633257212155e+01,1.460712276562106126e+04
3.570241169474815290e+00,1.173993498374593685e+02,7.599956508559170288e+03,2.772678578245758274e+01,1.463183030999255607e+04
3.604570443342204999e+00,1.173743435858964830e+02,7.599956357247287087e+03,2.772678523042913667e+01,1.465658126633871143e+04
3.638899717893095964e+00,1.173493373343335833e+02,7.599956205408971982e+03,2.772678467648011846e+01,1.468137567920526999e+04
3.673228993129845854e+00,1.173243310827706836e+02,7.599956053042395979e+03,2.772678412060385966e+01,1.470621359388949531e+04
3.707558269054821221e+00,1.172993248312078123e+02,7.599955900145720079e+03,2.772678356279364209e+01,1.473109505641839132e+04
3.741887545670456117e+00,1.172743185796449126e+02,7.599955746717099828e+03,2.772678300304274401e+01,1.475602011352821501e+04
3.776216822979133969e+00,1.172493123280820129e+02,7.599955592754684403e+03,2.772678244134440817e+01,1.478098881264446027e+04
3.810546100983245754e+00,1.172243060765191274e+02,7.599955438256617526e+03,2.772678187769186664e+01,1.480600120186306231e+04
3.844875379685250838e+00,1.171992998249562419e+02,7.599955283221034733e+03,2.772678131207831598e+01,1.483105732993211313e+04
3.879204659087537532e+00,1.171742935733933564e+02,7.599955127646067012e+03,2.772678074449693497e+01,1.485615724623455571e+04
3.913533939192582078e+00,1.171492873218304567e+02,7.599954971529836257e+03,2.772678017494087399e+01,1.488130100077152019e+04
