x,y,z,r,static_pressure_Pa,Cp_corrected
-1.074386716000000019e+00,1.500363469000000061e+00,1.216540694000000089e+00,1.623045925313041371e+00,2.923933837737500312e+02,1.045459909800106665e-03
-7.454528213000000125e-01,3.102599144000000031e+00,8.208227157999999912e-01,1.108805591416916148e+00,1.404332889487500040e+02,-2.919565588737201706e-02
-6.626369952999999757e-01,3.415492296000000039e+00,7.227888107000000062e-01,9.805669035885988816e-01,1.358219777775000239e+02,-3.011333888347147644e-02
-1.185723305000000005e+00,1.569923401000000052e+00,1.202094554999999954e+00,1.688481884765356655e+00,3.131676723262500559e+02,5.179687823013178968e-03
-8.244037628000000506e-01,3.000574111999999793e+00,8.397521377000000120e-01,1.176785969023474765e+00,1.399610818900000027e+02,-2.928962837640175856e-02
-1.324348926999999954e+00,1.866564630999999919e+00,1.140036821000000034e+00,1.747450724249996590e+00,1.452464645625000230e+02,-2.823780046318868572e-02
-7.654449344000000544e-01,3.037960051999999855e+00,8.394031524999999716e-01,1.136003345076746829e+00,1.427683891550000226e+02,-2.873095470502193965e-02
-1.004341602000000000e+00,2.328171252999999830e+00,1.025546073999999974e+00,1.435425652343143677e+00,1.922011841050000100e+02,-1.889348469039492731e-02
-1.708246112000000094e+00,1.399516701999999890e+00,4.745473564000000088e-01,1.772935411296572061e+00,2.452745296662500323e+02,-8.331519783032660317e-03
-6.063085794000000472e-01,3.671317338999999791e+00,6.114808321000000380e-01,8.611149176966768071e-01,1.558938671325000200e+02,-2.611889329595319317e-02
-8.824524878999999711e-01,3.078164816000000137e+00,8.003485798999999679e-01,1.191335487068544641e+00,1.328739383475000011e+02,-3.070001923451974937e-02
-1.367773056000000098e+00,1.896726131000000093e+00,1.119307159999999968e+00,1.767385541172849184e+00,1.282655992712500108e+02,-3.161711076304241780e-02
-1.030432105000000043e+00,2.295065880000000114e+00,1.033625602999999948e+00,1.459510948979775513e+00,1.910060539537500404e+02,-1.913132390297415247e-02
-1.036161064999999937e+00,2.870233296999999961e+00,8.411395550000000387e-01,1.334595632994328485e+00,1.388122144762500056e+02,-2.951826098244758959e-02
-8.224027753000000551e-01,2.739324569999999959e+00,9.276928902000000088e-01,1.239742079365208749e+00,1.685318572787500386e+02,-2.360384535592393446e-02
-1.014797568000000094e+00,2.100084542999999915e+00,1.083187341999999997e+00,1.484287344784607221e+00,2.193455997512500062e+02,-1.349155717942466907e-02
-1.131769180000000041e+00,2.074436426000000111e+00,1.089234470999999926e+00,1.570774716378043223e+00,1.966248554112500244e+02,-1.801314333252071812e-02
-9.026119112999999583e-01,2.508555650999999997e+00,9.836152195999999792e-01,1.334993319327626882e+00,1.846378147075000129e+02,-2.039864780594831742e-02
-1.134204744999999903e+00,1.267177105000000026e+00,1.260119795999999903e+00,1.695382642311639598e+00,2.552136730062500192e+02,-6.353561128717693379e-03
-1.109147190999999921e+00,3.148917437000000152e+00,4.328519106000000005e-01,1.190616759420620951e+00,1.302760377887500169e+02,-3.121701951487079393e-02
-1.087805748000000072e+00,1.642983437000000047e+00,1.185283660999999933e+00,1.608794176523337116e+00,3.114372402050000233e+02,4.835319795221851291e-03
-1.152582765000000009e+00,2.482443809999999917e+00,9.681310654000000460e-01,1.505232470407008138e+00,1.515270568962500022e+02,-2.698791890541199848e-02
-1.049133300999999907e+00,1.831836819999999921e+00,1.144433618000000097e+00,1.552549190613851771e+00,2.715562526599999842e+02,-3.101274110190152360e-03
-1.086223482999999934e+00,2.190582275000000134e+00,1.059964657000000088e+00,1.517697772650990817e+00,1.934367077125000378e+02,-1.864760689907361477e-02
-5.907116531999999642e-01,3.755321502999999783e+00,5.615125299000000014e-01,8.150071033193363457e-01,1.591834564075000173e+02,-2.546424215017064827e-02
-8.844690919000000040e-01,2.546092509999999809e+00,9.753000139999999929e-01,1.316622835832194971e+00,1.805858901699999990e+02,-2.120500897123354586e-02
-8.368428348999999988e-01,2.523705720999999791e+00,9.930537342999999906e-01,1.298638382895963561e+00,1.901979980775000172e+02,-1.929213264261335839e-02
-6.866508126000000489e-01,3.880744695999999827e+00,2.549414635000000207e-01,7.324510142362847809e-01,1.212620371112500095e+02,-3.301086834470989828e-02
-1.628728747000000032e+00,1.948938846999999974e+00,6.531988977999999557e-01,1.754829373868389775e+00,1.040970834750000051e+02,-3.642681350560702386e-02
-1.016761183999999929e+00,1.854263663000000006e+00,1.142032861999999982e+00,1.529065846579862997e+00,2.799829128162500069e+02,-1.424310129205261970e-03
-8.596671223999999834e-01,3.009939908999999858e+00,8.305415511000000528e-01,1.195335446407865376e+00,1.379752233650000051e+02,-2.968482803510482868e-02
-1.601084828000000071e+00,2.019680022999999824e+00,6.415842175000000536e-01,1.724848670056847943e+00,1.286487762700000133e+02,-3.154085587518284245e-02
-7.999432087000000191e-01,3.035524607000000152e+00,8.317620754000000227e-01,1.154009223194930600e+00,1.407171365775000140e+02,-2.913916823500731570e-02
-9.009646772999999609e-01,2.219399214000000065e+00,1.067960382000000097e+00,1.397238965697664481e+00,2.222544513700000266e+02,-1.291267547537785880e-02
-1.167134166000000084e+00,1.142213702000000053e+00,1.283226608999999963e+00,1.734610241953550291e+00,2.354172199400000238e+02,-1.029319297903461168e-02
-1.189214586999999934e+00,1.115211724999999987e+00,1.287953018999999921e+00,1.753012924391829541e+00,2.366328552437500150e+02,-1.005127309848853796e-02
-1.015621901000000049e+00,2.253022194000000145e+00,1.044534682999999964e+00,1.456894145015609654e+00,1.973133571675000155e+02,-1.787612669429546400e-02
-7.255227565999999850e-01,3.821146726999999910e+00,2.765005826999999972e-01,7.764250398962557753e-01,1.202020595562500063e+02,-3.322181125060946760e-02
-9.759220481000000502e-01,2.709678649999999855e+00,9.184120297000000210e-01,1.340113614685475962e+00,1.570590526487499972e+02,-2.588701327401268099e-02
-9.778971671999999726e-01,1.945971966000000108e+00,1.125405787999999907e+00,1.490912826855308015e+00,2.567127727587500203e+02,-6.055229851292046918e-03
-9.819878936000000502e-01,2.901122331999999915e+00,8.493357300999999637e-01,1.298334088592556723e+00,1.365294519662500079e+02,-2.997254659921989514e-02
-1.314379811000000009e+00,1.691032290000000105e+00,1.185978055000000086e+00,1.770349749203806056e+00,1.612124374437500194e+02,-2.506046081179912066e-02
-6.058470607000000507e-01,3.481927155999999801e+00,7.214813232000000243e-01,9.421178061608073140e-01,1.314855234087500264e+02,-3.097632346416382201e-02
-1.285390376999999917e+00,1.718770026999999923e+00,1.178428768999999932e+00,1.743824184053844650e+00,2.093128654312500316e+02,-1.548814108971232999e-02
