nodenumber     x-coordinate     y-coordinate     z-coordinate     y-coordinate pressure-coefficient 
       119  5.108857751E-01  6.910979152E-01 -1.692482233E+00  6.910979152E-01  3.203186020E-02 
       120 -2.407614738E-01  3.461828828E-01 -1.692385554E+00  3.461828828E-01  6.956538558E-01 
       121 -4.951147139E-01  7.208614945E-01 -1.690800428E+00  7.208614945E-01  3.157457709E-02 
       122  2.762033790E-02  1.056470037E+00 -1.688840270E+00  1.056470037E+00  3.186200932E-02 
       123  2.367691100E-01  3.429585099E-01 -1.688571334E+00  3.429585099E-01  7.998249531E-01 
       124 -6.150115132E-01  4.923217595E-01 -1.688525200E+00  4.923217595E-01  1.313898414E-01 
       125  6.144629121E-01  4.893782139E-01 -1.688196540E+00  4.893782139E-01  1.426098645E-01 
       126  3.292963803E-01  9.215288758E-01 -1.687338471E+00  9.215288758E-01  1.779803634E-02 
       127  5.678733587E-01  6.371003985E-01 -1.685767651E+00  6.371003985E-01  3.729685396E-02 
       128 -2.981669903E-01  9.614397883E-01 -1.684197664E+00  9.614397883E-01  3.794599697E-02 
       129 -5.726352930E-01  4.294767976E-01 -1.682526588E+00  4.294767976E-01  2.849596441E-01 
       130  5.726352930E-01  4.294767976E-01 -1.682526588E+00  4.294767976E-01  2.865515947E-01 
       131 -3.041551113E-01  3.446755707E-01 -1.680116177E+00  3.446755707E-01  6.924638748E-01 
       132  3.041551113E-01  3.446755707E-01 -1.680116177E+00  3.446755707E-01  8.009194732E-01 
       133 -8.656336367E-02  1.087540865E+00 -1.679740787E+00  1.087540865E+00  3.886533901E-02 
       134 -4.726468623E-01  3.788751960E-01 -1.678896427E+00  3.788751960E-01  5.081675053E-01 
       135  4.726468623E-01  3.788751960E-01 -1.678896427E+00  3.788751960E-01  5.256843567E-01 
       136 -5.602762699E-01  6.819379330E-01 -1.678749561E+00  6.819379330E-01  3.188681602E-02 
       137  5.058829784E-01  7.816615105E-01 -1.674401283E+00  7.816615105E-01  2.529715747E-02 
       138 -4.746414721E-01  8.250096440E-01 -1.674004793E+00  8.250096440E-01  2.914739028E-02 
       139 -6.122690439E-01  6.232804656E-01 -1.673105359E+00  6.232804656E-01  3.538780287E-02 
       140 -6.556186080E-01  5.580000281E-01 -1.670488954E+00  5.580000281E-01  6.226107851E-02 
       141  6.556186080E-01  5.580000281E-01 -1.670488954E+00  5.580000281E-01  6.390646100E-02 
       142  1.353901774E-01  1.113639951E+00 -1.670483589E+00  1.113639951E+00  2.465469576E-02 
       143  6.309606433E-01  6.034325361E-01 -1.670377135E+00  6.034325361E-01  4.206664860E-02 
       144 -6.745109558E-01  4.904921949E-01 -1.665322542E+00  4.904921949E-01  1.398491412E-01 
       145 -3.673559725E-01  3.425357044E-01 -1.664448619E+00  3.425357044E-01  7.251833081E-01 
       146  3.673559725E-01  3.425357044E-01 -1.664448619E+00  3.425357044E-01  8.300498724E-01 
       147  6.805282831E-01  4.943994582E-01 -1.663554311E+00  4.943994582E-01  1.310297698E-01 
       148 -2.275416553E-01  1.103136659E+00 -1.662888885E+00  1.103136659E+00  3.932240233E-02 
       149  6.395639777E-01  4.388733804E-01 -1.662805796E+00  4.388733804E-01  2.610128820E-01 
       150  5.832470059E-01  7.222021222E-01 -1.662165403E+00  7.222021222E-01  2.878017165E-02 
       151 -5.349203348E-01  3.809469640E-01 -1.661960244E+00  3.809469640E-01  4.917885363E-01 
       152  5.349203348E-01  3.809469640E-01 -1.661960244E+00  3.809469640E-01  5.025485158E-01 
       153 -6.336165071E-01  4.297040999E-01 -1.660639882E+00  4.297040999E-01  2.978292108E-01 
       154  4.780466855E-01  8.889309168E-01 -1.658757448E+00  8.889309168E-01  2.110592835E-02 
       155 -4.385947585E-01  9.425517321E-01 -1.657509923E+00  9.425517321E-01  3.040908463E-02 
       156  2.850766480E-01  1.099822044E+00 -1.654771566E+00  1.099822044E+00  1.804380491E-02 
       157  4.199429263E-15  3.152177036E-01 -1.654568553E+00  3.152177036E-01  9.995259643E-01 
       158 -6.495805830E-02  3.152177036E-01 -1.653293014E+00  3.152177036E-01  9.733377695E-01 
       159  6.495805830E-02  3.152177036E-01 -1.653293014E+00  3.152177036E-01  1.021920323E+00 
       160  2.508932166E-02  1.218114018E+00 -1.651280284E+00  1.218114018E+00  3.109396808E-02 
       161  6.499793530E-01  6.597002149E-01 -1.650949240E+00  6.597002149E-01  3.267688304E-02 
       162 -5.782127976E-01  7.866221070E-01 -1.649715781E+00  7.866221070E-01  2.577913739E-02 
       163 -1.298159510E-01  3.152177036E-01 -1.649468064E+00  3.152177036E-01  9.649075866E-01 
       164  1.298159510E-01  3.152177036E-01 -1.649468064E+00  3.152177036E-01  1.040984869E+00 
       165  6.875017285E-01  6.037253141E-01 -1.647848487E+00  6.037253141E-01  4.367803410E-02 
       166 -4.299607873E-01  3.413685560E-01 -1.647697210E+00  3.413685560E-01  7.506822348E-01 
       167  4.299607873E-01  3.413685560E-01 -1.647697210E+00  3.413685560E-01  8.338785172E-01 
       168 -6.368395090E-01  7.030896544E-01 -1.646592140E+00  7.030896544E-01  2.669107355E-02 
       169 -6.845650673E-01  6.226280928E-01 -1.644989491E+00  6.226280928E-01  3.554220498E-02 
       170  1.602898240E-01  1.213058472E+00 -1.644880652E+00  1.213058472E+00  2.294076607E-02 
       171 -7.176216841E-01  5.580000281E-01 -1.644806385E+00  5.580000281E-01  6.509523839E-02 
       172  7.176216841E-01  5.580000281E-01 -1.644806385E+00  5.580000281E-01  7.018841058E-02 
       173 -5.971276164E-01  3.838467300E-01 -1.643192887E+00  3.838467300E-01  5.033026934E-01 
       174  5.971276164E-01  3.838467300E-01 -1.643192887E+00  3.838467300E-01  4.621761143E-01 
       175 -1.944736838E-01  3.152177036E-01 -1.643099904E+00  3.152177036E-01  9.647188187E-01 
