cellnumber     x-coordinate     y-coordinate     z-coordinate     y-coordinate pressure-coefficient 
        87 -7.552382946E-01  3.194372177E+00  7.827571034E-01  3.194595337E+00  2.206370697E+02 
        88 -1.125814319E+00  2.432296753E+00  9.917759299E-01  2.435711145E+00  2.808677368E+02 
        89 -1.210319400E+00  2.102719307E+00  1.082237363E+00  2.099220037E+00  2.996982117E+02 
        90 -6.400813460E-01  3.583312750E+00  6.459297538E-01  3.588727951E+00  2.517118530E+02 
        91 -1.197775722E+00  2.068417311E+00  1.091775537E+00  2.073493242E+00  3.011989136E+02 
        92 -9.870209098E-01  2.750375986E+00  9.043328166E-01  2.755034924E+00  2.427414551E+02 
        93 -8.976061940E-01  2.429073095E+00  1.007664680E+00  2.422996283E+00  3.251776733E+02 
        94 -1.105538368E+00  1.497688174E+00  1.214786053E+00  1.503479838E+00  4.833382568E+02 
        95 -1.065648675E+00  2.382417440E+00  1.010017395E+00  2.392519236E+00  2.981276855E+02 
        96 -1.030114770E+00  2.801000357E+00  8.773586750E-01  2.808074713E+00  2.247760010E+02 
        97 -1.086019993E+00  2.347688675E+00  1.019146442E+00  2.350995779E+00  2.958620605E+02 
        98 -1.015470982E+00  1.997154832E+00  1.107656837E+00  1.992294550E+00  4.030136414E+02 
        99 -1.123373389E+00  2.358211517E+00  1.014577746E+00  2.358887672E+00  2.950436707E+02 
       100 -1.209188819E+00  1.952074170E+00  1.120653033E+00  1.951611280E+00  3.189518738E+02 
       101 -1.255411506E+00  1.916204453E+00  1.130297065E+00  1.916394353E+00  2.904270020E+02 
       102 -1.201139212E+00  2.432680130E+00  9.669650197E-01  2.443670511E+00  2.495111542E+02 
       103 -1.226644874E+00  1.760678172E+00  1.165616035E+00  1.766677499E+00  3.898530884E+02 
       104 -8.253242373E-01  3.246767759E+00  7.423368096E-01  3.249482155E+00  2.356796112E+02 
       105 -9.254251122E-01  2.190539360E+00  1.070095897E+00  2.193925381E+00  3.635629578E+02 
